1	23.0
2	17.0
3	13.0
4	12.0
5	10.6
6	10.5
7	12.857142857142858
8	11.8750025
9	11.444446666666668
10	11.400002
20	11.650001
30	11.433334
40	11.550001
50	11.2000012
60	11.133334333333334
70	10.457143428571431
80	10.637500500000002
90	10.622222666666667
100	10.500000400000001
200	10.604999300000001
300	10.779998266666672
400	10.809997850000002
500	10.881997360000002
600	10.883331300000004
700	11.075711999999998
800	11.07624695
900	11.158884533333328
1000	11.108995100000001
2000	10.97149173000003
3000	11.015986493333372
4000	11.009731375000095
5000	11.003175356000138
6000	11.027470510000157
7000	11.038107900000133
8000	11.035210632500094
9000	11.067067002222279
10000	11.074550890000056
