1	1087941.04	313
2	1087943.52	313
3	1087943.24	313
4	1087944.9	313
5	1087948.34	313
6	1087945.3	313
7	1087938.82	313
8	1087939.72	313
9	1087945.0	313
10	1087943.82	313
20	1087928.7	313
30	1087922.28	313
40	1087921.92	313
50	1087912.84	313
60	1087893.16	313
70	1087885.38	313
80	1087879.5	313
90	1087867.12	313
100	1087845.44	313
200	1087735.7	313
300	1087650.02	313
400	1087557.2	313
500	1087500.62	313
600	1087405.44	313
700	1087352.9	313
800	1087280.3	313
900	1087166.5	313
1000	1087076.7	313
2000	1086231.8	313
3000	1085321.68	313
4000	1084487.48	313
5000	1083574.38	313
6000	1082681.26	313
7000	1081782.56	313
8000	1080811.74	313
9000	1079966.54	313
10000	1079102.6	313
20000	1070401.22	313
30000	1061382.5	313
40000	1053047.44	313
50000	1044980.44	313
60000	1037558.04	313
70000	1030185.64	313
80000	1023318.62	313
90000	1017272.1	313
100000	1011236.24	313
110000	1005282.6	313
120000	999801.6	313
130000	994437.84	313
140000	989620.16	313
150000	985068.46	313
160000	980943.16	313
170000	977011.46	313
180000	973179.4	313
190000	969426.06	313
200000	965761.94	313
210000	962437.0	313
220000	959268.64	313
230000	956254.14	313
240000	953208.52	313
250000	950397.42	313
260000	947711.98	313
270000	945087.64	313
280000	942505.46	313
290000	940092.44	313
300000	937742.86	313
310000	935487.7	313
320000	933375.22	313
330000	931236.32	313
340000	929190.92	313
350000	927124.48	313
360000	925288.54	313
370000	923493.64	313
380000	921783.28	313
390000	920095.12	313
400000	918580.42	313
410000	916976.6	313
420000	915375.76	313
430000	913828.76	313
440000	912346.06	313
450000	910861.4	313
460000	909481.22	313
470000	908113.16	313
480000	906759.26	313
490000	905461.04	313
500000	904245.32	313
510000	903119.16	313
520000	902026.08	313
530000	901021.62	313
540000	899980.22	313
550000	898972.78	313
560000	897894.46	313
570000	896923.24	313
580000	895979.4	313
590000	895094.36	313
600000	894197.32	313
610000	893413.3	313
620000	892688.6	313
