mkdir: 313_0.01_fixcache: File exists
_RegisterApplication(), FAILED TO establish the default connection to the WindowServer, _CGSDefaultConnection() is NULL.
('iter : ', 36000000, ' objective : ', 821392.98000000231)
('iter : ', 37000000, ' objective : ', 811001.16000000353)
('iter : ', 36000000, ' objective : ', 825339.33999998809)
('iter : ', 34000000, ' objective : ', 842760.44000000425)
('iter : ', 37000000, ' objective : ', 821240.37999999407)
('iter : ', 38000000, ' objective : ', 810849.95999999682)
('iter : ', 37000000, ' objective : ', 825205.66000000504)
('iter : ', 35000000, ' objective : ', 842266.90199999348)
('iter : ', 38000000, ' objective : ', 821144.37999999581)
('iter : ', 39000000, ' objective : ', 810524.00000000582)
('iter : ', 38000000, ' objective : ', 825095.4199999976)
('iter : ', 36000000, ' objective : ', 841855.82400001062)
('iter : ', 39000000, ' objective : ', 821167.82000001031)
('iter : ', 40000000, ' objective : ', 810456.92000000167)
('iter : ', 39000000, ' objective : ', 824980.21000000404)
('iter : ', 37000000, ' objective : ', 841488.61399999983)
('iter : ', 40000000, ' objective : ', 820979.9599999981)
('iter : ', 41000000, ' objective : ', 810411.28000000468)
('iter : ', 40000000, ' objective : ', 824884.22999999719)
('iter : ', 38000000, ' objective : ', 841037.09199998726)
('iter : ', 41000000, ' objective : ', 820963.87999999546)
('iter : ', 42000000, ' objective : ', 810250.36000000092)
('iter : ', 41000000, ' objective : ', 824831.27000001061)
('iter : ', 39000000, ' objective : ', 840572.52600000286)
('iter : ', 42000000, ' objective : ', 820813.21999999764)
('iter : ', 43000000, ' objective : ', 810269.19999999972)
('iter : ', 42000000, ' objective : ', 824745.84000000125)
('iter : ', 40000000, ' objective : ', 840194.11399999936)
('iter : ', 43000000, ' objective : ', 820655.32000000379)
('iter : ', 44000000, ' objective : ', 810048.63999999675)
('iter : ', 43000000, ' objective : ', 824677.72999999917)
('iter : ', 41000000, ' objective : ', 839819.07999999786)
('iter : ', 44000000, ' objective : ', 820613.09999999776)
('iter : ', 45000000, ' objective : ', 810089.04000000539)
('iter : ', 44000000, ' objective : ', 824620.14000000176)
('iter : ', 42000000, ' objective : ', 839494.74199999915)
('iter : ', 45000000, ' objective : ', 820525.93999999296)
('iter : ', 46000000, ' objective : ', 809970.60000000091)
('iter : ', 45000000, ' objective : ', 824592.99000000162)
('iter : ', 43000000, ' objective : ', 839151.54600000742)
('iter : ', 46000000, ' objective : ', 820441.46000000217)
('iter : ', 47000000, ' objective : ', 809987.99999999639)
('iter : ', 46000000, ' objective : ', 824545.31000000262)
('iter : ', 44000000, ' objective : ', 838863.04399999732)
('iter : ', 47000000, ' objective : ', 820472.75999999861)
('iter : ', 48000000, ' objective : ', 809875.36000000732)
('iter : ', 47000000, ' objective : ', 824486.04999999632)
('iter : ', 45000000, ' objective : ', 838576.37999999465)
('iter : ', 49000000, ' objective : ', 809861.20000000135)
('iter : ', 48000000, ' objective : ', 820408.05999999971)
('iter : ', 48000000, ' objective : ', 824462.56999999715)
('iter : ', 46000000, ' objective : ', 838238.14999999339)
('iter : ', 50000000, ' objective : ', 809841.28000000888)
('iter : ', 49000000, ' objective : ', 820452.70000000333)
('iter : ', 49000000, ' objective : ', 824392.79999999737)
('iter : ', 47000000, ' objective : ', 837895.38599999971)
('iter : ', 51000000, ' objective : ', 809832.6399999992)
('iter : ', 50000000, ' objective : ', 820262.65999999898)
('iter : ', 50000000, ' objective : ', 824295.7099999981)
('iter : ', 48000000, ' objective : ', 837582.98200000869)
('iter : ', 52000000, ' objective : ', 808220.76000000793)
('iter : ', 51000000, ' objective : ', 820202.35999999731)
('iter : ', 51000000, ' objective : ', 824247.99000000162)
('iter : ', 49000000, ' objective : ', 837286.70199999516)
('iter : ', 53000000, ' objective : ', 807945.71999999718)
('iter : ', 52000000, ' objective : ', 820150.02000000374)
('iter : ', 52000000, ' objective : ', 824167.15000001085)
('iter : ', 50000000, ' objective : ', 836979.45799999905)
('iter : ', 54000000, ' objective : ', 807874.88000000489)
('iter : ', 53000000, ' objective : ', 820187.20000000123)
('iter : ', 53000000, ' objective : ', 824107.48000000394)
('iter : ', 51000000, ' objective : ', 836722.522)
('iter : ', 55000000, ' objective : ', 807046.24000000465)
('iter : ', 54000000, ' objective : ', 820002.81999999692)
('iter : ', 54000000, ' objective : ', 824043.64999999898)
('iter : ', 52000000, ' objective : ', 836436.44799999765)
('iter : ', 56000000, ' objective : ', 806773.23999999359)
('iter : ', 55000000, ' objective : ', 820061.68000000517)
('iter : ', 55000000, ' objective : ', 823970.69999999437)
('iter : ', 53000000, ' objective : ', 836184.59599999536)
('iter : ', 57000000, ' objective : ', 806526.799999999)
('iter : ', 56000000, ' objective : ', 820012.71999999881)
('iter : ', 56000000, ' objective : ', 823883.7900000033)
('iter : ', 54000000, ' objective : ', 836008.10799999267)
('iter : ', 58000000, ' objective : ', 806604.31999999552)
('iter : ', 57000000, ' objective : ', 819921.61999999487)
('iter : ', 57000000, ' objective : ', 823809.64999999967)
('iter : ', 55000000, ' objective : ', 835814.73199998843)
('iter : ', 59000000, ' objective : ', 806472.55999999668)
('iter : ', 58000000, ' objective : ', 819862.55999999726)
('iter : ', 58000000, ' objective : ', 823761.76000000734)
('iter : ', 56000000, ' objective : ', 835589.18799999601)
('iter : ', 60000000, ' objective : ', 806402.20000001125)
('iter : ', 59000000, ' objective : ', 819847.59999999823)
('iter : ', 59000000, ' objective : ', 823753.92000000691)
('iter : ', 57000000, ' objective : ', 835371.13000000198)
('iter : ', 61000000, ' objective : ', 806519.95999999531)
('iter : ', 60000000, ' objective : ', 819794.82000000787)
('iter : ', 60000000, ' objective : ', 823650.78000000666)
('iter : ', 58000000, ' objective : ', 835157.41399999929)
('iter : ', 62000000, ' objective : ', 806485.2400000043)
('iter : ', 61000000, ' objective : ', 819718.30000000447)
('iter : ', 61000000, ' objective : ', 823618.49999999569)
('iter : ', 59000000, ' objective : ', 834944.41000000702)
('iter : ', 63000000, ' objective : ', 806340.64000000013)
('iter : ', 62000000, ' objective : ', 819617.62000000034)
('iter : ', 62000000, ' objective : ', 823567.85999999859)
('iter : ', 60000000, ' objective : ', 834786.34600000002)
('iter : ', 64000000, ' objective : ', 806140.87999999698)
('iter : ', 63000000, ' objective : ', 819633.85999999847)
('iter : ', 63000000, ' objective : ', 823587.7000000031)
('iter : ', 61000000, ' objective : ', 834628.00800000166)
('iter : ', 65000000, ' objective : ', 806114.19999999111)
('iter : ', 64000000, ' objective : ', 819587.25999999815)
('iter : ', 64000000, ' objective : ', 823534.54000000737)
('iter : ', 62000000, ' objective : ', 834456.10200000182)
('iter : ', 66000000, ' objective : ', 806198.96000000264)
('iter : ', 65000000, ' objective : ', 819537.85999999277)
('iter : ', 65000000, ' objective : ', 823518.31999999145)
('iter : ', 63000000, ' objective : ', 834307.24399999622)
('iter : ', 67000000, ' objective : ', 806175.51999999338)
('iter : ', 66000000, ' objective : ', 819572.24000000127)
('iter : ', 66000000, ' objective : ', 823479.1800000025)
('iter : ', 64000000, ' objective : ', 834100.07200000132)
('iter : ', 68000000, ' objective : ', 806116.76000000595)
('iter : ', 67000000, ' objective : ', 819415.71999999601)
('iter : ', 67000000, ' objective : ', 823485.31999999483)
('iter : ', 65000000, ' objective : ', 833817.00399999111)
('iter : ', 69000000, ' objective : ', 806135.71999999741)
('iter : ', 68000000, ' objective : ', 819434.49999999895)
('iter : ', 68000000, ' objective : ', 823409.59999999357)
('iter : ', 66000000, ' objective : ', 833615.90199999884)
('iter : ', 70000000, ' objective : ', 805951.72000000055)
('iter : ', 69000000, ' objective : ', 819295.19999998959)
('iter : ', 69000000, ' objective : ', 823427.74000000034)
('iter : ', 67000000, ' objective : ', 833509.80399999605)
('iter : ', 71000000, ' objective : ', 805907.83999999973)
('iter : ', 70000000, ' objective : ', 819196.09999999218)
('iter : ', 70000000, ' objective : ', 823333.86000000359)
('iter : ', 68000000, ' objective : ', 833345.88799999421)
('iter : ', 72000000, ' objective : ', 805772.91999999702)
('iter : ', 71000000, ' objective : ', 819204.48000000766)
('iter : ', 71000000, ' objective : ', 823333.85999999079)
('iter : ', 69000000, ' objective : ', 833208.03600000287)
('iter : ', 73000000, ' objective : ', 805899.47999999707)
('iter : ', 72000000, ' objective : ', 819236.63999999687)
('iter : ', 72000000, ' objective : ', 823282.2799999991)
('iter : ', 70000000, ' objective : ', 833066.0739999928)
('iter : ', 74000000, ' objective : ', 805846.400000002)
('iter : ', 73000000, ' objective : ', 819173.42000000563)
('iter : ', 73000000, ' objective : ', 823217.27999999805)
('iter : ', 71000000, ' objective : ', 832982.17999999877)
('iter : ', 75000000, ' objective : ', 805882.83999999962)
('iter : ', 74000000, ' objective : ', 819171.21999999776)
('iter : ', 74000000, ' objective : ', 823187.60000000068)
('iter : ', 72000000, ' objective : ', 832850.1220000016)
('iter : ', 76000000, ' objective : ', 805289.07999999623)
('iter : ', 75000000, ' objective : ', 819168.95999998995)
('iter : ', 75000000, ' objective : ', 823239.16000000073)
('iter : ', 73000000, ' objective : ', 832706.08400000364)
('iter : ', 77000000, ' objective : ', 805211.64000000141)
('iter : ', 76000000, ' objective : ', 819074.72000000603)
('iter : ', 76000000, ' objective : ', 823154.05999999517)
('iter : ', 74000000, ' objective : ', 832573.28599999589)
('iter : ', 78000000, ' objective : ', 804994.16000001214)
('iter : ', 77000000, ' objective : ', 818964.75999999268)
('iter : ', 77000000, ' objective : ', 823099.02999999304)
('iter : ', 75000000, ' objective : ', 832483.27400000417)
('iter : ', 79000000, ' objective : ', 804643.08000000101)
('iter : ', 78000000, ' objective : ', 819008.59999999695)
('iter : ', 78000000, ' objective : ', 823076.32999999949)
('iter : ', 76000000, ' objective : ', 832373.73199998937)
('iter : ', 80000000, ' objective : ', 804409.04000000027)
('iter : ', 79000000, ' objective : ', 818991.50000000128)
('iter : ', 79000000, ' objective : ', 823085.44999998878)
('iter : ', 77000000, ' objective : ', 832252.26399999857)
('iter : ', 81000000, ' objective : ', 804511.80000000354)
('iter : ', 80000000, ' objective : ', 818962.59999999614)
('iter : ', 80000000, ' objective : ', 823001.81999999587)
('iter : ', 78000000, ' objective : ', 832142.80799999298)
('iter : ', 82000000, ' objective : ', 804421.88000000175)
('iter : ', 81000000, ' objective : ', 818964.3000000004)
('iter : ', 81000000, ' objective : ', 822991.72000000009)
('iter : ', 79000000, ' objective : ', 832032.83999999217)
('iter : ', 83000000, ' objective : ', 804446.44000000053)
('iter : ', 82000000, ' objective : ', 818908.37999999709)
('iter : ', 82000000, ' objective : ', 822904.0900000016)
('iter : ', 80000000, ' objective : ', 831947.10200000321)
('iter : ', 84000000, ' objective : ', 804376.99999999627)
('iter : ', 83000000, ' objective : ', 818873.84000000369)
('iter : ', 83000000, ' objective : ', 822871.91000000888)
('iter : ', 81000000, ' objective : ', 831844.65600000788)
('iter : ', 85000000, ' objective : ', 804345.7200000002)
('iter : ', 84000000, ' objective : ', 822837.78999998805)
('iter : ', 84000000, ' objective : ', 818907.3199999982)
('iter : ', 82000000, ' objective : ', 831726.2060000049)
('iter : ', 86000000, ' objective : ', 804356.24000000011)
('iter : ', 85000000, ' objective : ', 822857.96000000928)
('iter : ', 85000000, ' objective : ', 818868.80000000505)
('iter : ', 83000000, ' objective : ', 831619.84399999469)
('iter : ', 87000000, ' objective : ', 804464.24000000162)
('iter : ', 86000000, ' objective : ', 822813.11999999441)
('iter : ', 86000000, ' objective : ', 818801.20000000147)
('iter : ', 84000000, ' objective : ', 831512.05799999845)
('iter : ', 88000000, ' objective : ', 804314.35999999207)
('iter : ', 87000000, ' objective : ', 822801.46999999683)
('iter : ', 87000000, ' objective : ', 818780.71999999241)
('iter : ', 85000000, ' objective : ', 831428.80000000342)
('iter : ', 89000000, ' objective : ', 804358.40000000084)
('iter : ', 88000000, ' objective : ', 822764.01000000956)
('iter : ', 88000000, ' objective : ', 818789.79999999946)
('iter : ', 86000000, ' objective : ', 831349.45000000531)
('iter : ', 90000000, ' objective : ', 804323.63999999489)
('iter : ', 89000000, ' objective : ', 822774.6700000047)
('iter : ', 89000000, ' objective : ', 818730.41999999655)
('iter : ', 87000000, ' objective : ', 831277.7399999944)
('iter : ', 91000000, ' objective : ', 804311.04000000039)
('iter : ', 90000000, ' objective : ', 822702.09999999672)
('iter : ', 90000000, ' objective : ', 818779.2200000016)
('iter : ', 92000000, ' objective : ', 804356.72000000265)
('iter : ', 88000000, ' objective : ', 831229.47600000689)
('iter : ', 91000000, ' objective : ', 822620.93999999308)
('iter : ', 91000000, ' objective : ', 818770.2600000028)
('iter : ', 93000000, ' objective : ', 804268.04000000271)
('iter : ', 89000000, ' objective : ', 831165.16199999943)
('iter : ', 92000000, ' objective : ', 822664.14999999828)
('iter : ', 92000000, ' objective : ', 818767.89999999269)
('iter : ', 94000000, ' objective : ', 804272.5999999987)
('iter : ', 90000000, ' objective : ', 831108.91399998788)
('iter : ', 93000000, ' objective : ', 822602.87000000186)
('iter : ', 93000000, ' objective : ', 818785.81999999622)
('iter : ', 95000000, ' objective : ', 804259.24000000616)
('iter : ', 91000000, ' objective : ', 831028.99000000197)
('iter : ', 94000000, ' objective : ', 822585.95000000717)
('iter : ', 94000000, ' objective : ', 818747.65999999933)
('iter : ', 96000000, ' objective : ', 804191.95999999426)
('iter : ', 92000000, ' objective : ', 830970.25199999812)
('iter : ', 95000000, ' objective : ', 822561.6599999934)
('iter : ', 97000000, ' objective : ', 804300.24000000558)
('iter : ', 95000000, ' objective : ', 818707.76000000036)
('iter : ', 93000000, ' objective : ', 830922.35199999716)
('iter : ', 96000000, ' objective : ', 822553.43999999261)
('iter : ', 98000000, ' objective : ', 804223.51999999839)
('iter : ', 96000000, ' objective : ', 818630.58000001125)
('iter : ', 94000000, ' objective : ', 830859.43999999983)
('iter : ', 97000000, ' objective : ', 822479.31999999483)
('iter : ', 99000000, ' objective : ', 804253.2399999944)
('iter : ', 97000000, ' objective : ', 818691.83999999682)
('iter : ', 95000000, ' objective : ', 830789.46000000252)
('iter : ', 98000000, ' objective : ', 822482.06999999727)
('iter : ', 96000000, ' objective : ', 830739.24000000395)
('iter : ', 98000000, ' objective : ', 818562.6000000037)
('iter : ', 99000000, ' objective : ', 822449.19000000053)
('iter : ', 97000000, ' objective : ', 830671.69200000155)
('iter : ', 99000000, ' objective : ', 818643.9799999994)
('iter : ', 98000000, ' objective : ', 830602.61600000062)
('iter : ', 99000000, ' objective : ', 830548.71399999806)
('iter : ', 100000000, ' objective : ', 804229.31999999611)
('iter : ', 100000000, ' objective : ', 822435.57000000018)
('iter : ', 100000000, ' objective : ', 818661.80000000226)
('iter : ', 100000000, ' objective : ', 830471.84400000563)
('iter : ', 110000000, ' objective : ', 804167.03999999678)
('iter : ', 110000000, ' objective : ', 821991.02999998687)
('iter : ', 110000000, ' objective : ', 818527.44000000029)
('iter : ', 110000000, ' objective : ', 829862.75800000015)
('iter : ', 120000000, ' objective : ', 804005.91999999329)
('iter : ', 120000000, ' objective : ', 821736.55999999051)
('iter : ', 120000000, ' objective : ', 818434.66000000108)
('iter : ', 120000000, ' objective : ', 829516.29800000694)
('iter : ', 130000000, ' objective : ', 803947.56000000087)
('iter : ', 130000000, ' objective : ', 821486.43999999529)
('iter : ', 130000000, ' objective : ', 818297.59999999939)
('iter : ', 130000000, ' objective : ', 829196.50800000422)
('iter : ', 140000000, ' objective : ', 802998.32000000426)
('iter : ', 140000000, ' objective : ', 821258.16000000364)
('iter : ', 140000000, ' objective : ', 818318.73999999708)
('iter : ', 140000000, ' objective : ', 828911.28600000136)
_RegisterApplication(), FAILED TO establish the default connection to the WindowServer, _CGSDefaultConnection() is NULL.
_RegisterApplication(), FAILED TO establish the default connection to the WindowServer, _CGSDefaultConnection() is NULL.
_RegisterApplication(), FAILED TO establish the default connection to the WindowServer, _CGSDefaultConnection() is NULL.
_RegisterApplication(), FAILED TO establish the default connection to the WindowServer, _CGSDefaultConnection() is NULL.
mkdir: 313_0.01_uniform: File exists
_RegisterApplication(), FAILED TO establish the default connection to the WindowServer, _CGSDefaultConnection() is NULL.
('iter : ', 1, 'objective : ', 1100469.5600000001)
('iter : ', 2, 'objective : ', 1100469.0800000001)
('iter : ', 3, 'objective : ', 1100468.1800000006)
_RegisterApplication(), FAILED TO establish the default connection to the WindowServer, _CGSDefaultConnection() is NULL.
('iter : ', 1, 'objective : ', 1100467.160000002)
('iter : ', 4, 'objective : ', 1100466.2000000002)
('iter : ', 2, 'objective : ', 1100460.6800000034)
('iter : ', 5, 'objective : ', 1100465.6599999999)
_RegisterApplication(), FAILED TO establish the default connection to the WindowServer, _CGSDefaultConnection() is NULL.
('iter : ', 1, 'objective : ', 1100470.8699999999)
('iter : ', 3, 'objective : ', 1100471.1200000029)
('iter : ', 6, 'objective : ', 1100461.7599999998)
_RegisterApplication(), FAILED TO establish the default connection to the WindowServer, _CGSDefaultConnection() is NULL.
('iter : ', 1, 'objective : ', 1100469.2400000019)
('iter : ', 2, 'objective : ', 1100470.8499999996)
('iter : ', 4, 'objective : ', 1100463.6400000039)
('iter : ', 7, 'objective : ', 1100458.6399999992)
('iter : ', 2, 'objective : ', 1100468.2500000023)
('iter : ', 3, 'objective : ', 1100470.7539999997)
('iter : ', 5, 'objective : ', 1100452.6000000047)
('iter : ', 8, 'objective : ', 1100459.8199999998)
('iter : ', 3, 'objective : ', 1100467.4500000032)
('iter : ', 4, 'objective : ', 1100470.8519999997)
('iter : ', 6, 'objective : ', 1100447.0800000043)
('iter : ', 9, 'objective : ', 1100459.6199999996)
('iter : ', 4, 'objective : ', 1100464.8400000047)
('iter : ', 5, 'objective : ', 1100470.4080000003)
('iter : ', 7, 'objective : ', 1100448.4000000029)
('iter : ', 5, 'objective : ', 1100465.3200000038)
('iter : ', 6, 'objective : ', 1100470.6079999993)
('iter : ', 10, 'objective : ', 1100457.1599999997)
('iter : ', 8, 'objective : ', 1100442.1600000018)
('iter : ', 6, 'objective : ', 1100462.7100000009)
('iter : ', 7, 'objective : ', 1100470.9039999992)
('iter : ', 9, 'objective : ', 1100447.7200000016)
('iter : ', 7, 'objective : ', 1100463.870000001)
('iter : ', 20, 'objective : ', 1100452.0999999999)
('iter : ', 8, 'objective : ', 1100470.5900000008)
('iter : ', 8, 'objective : ', 1100462.1200000013)
('iter : ', 9, 'objective : ', 1100470.5200000009)
('iter : ', 10, 'objective : ', 1100437.7600000021)
('iter : ', 9, 'objective : ', 1100460.4999999991)
('iter : ', 10, 'objective : ', 1100470.8020000011)
('iter : ', 30, 'objective : ', 1100444.2600000002)
('iter : ', 20, 'objective : ', 1100431.560000001)
('iter : ', 40, 'objective : ', 1100429.4200000018)
('iter : ', 10, 'objective : ', 1100460.0199999996)
('iter : ', 20, 'objective : ', 1100471.0119999957)
('iter : ', 50, 'objective : ', 1100418.8800000004)
('iter : ', 60, 'objective : ', 1100396.9999999995)
('iter : ', 30, 'objective : ', 1100402.9200000016)
('iter : ', 20, 'objective : ', 1100451.5300000003)
('iter : ', 30, 'objective : ', 1100471.2640000021)
('iter : ', 70, 'objective : ', 1100385.3999999966)
('iter : ', 40, 'objective : ', 1100393.9600000018)
('iter : ', 80, 'objective : ', 1100377.4599999976)
('iter : ', 50, 'objective : ', 1100373.5999999996)
('iter : ', 90, 'objective : ', 1100365.7999999998)
('iter : ', 60, 'objective : ', 1100347.6800000037)
('iter : ', 30, 'objective : ', 1100449.5200000033)
('iter : ', 40, 'objective : ', 1100469.1140000043)
('iter : ', 100, 'objective : ', 1100352.659999999)
('iter : ', 70, 'objective : ', 1100324.6000000071)
('iter : ', 40, 'objective : ', 1100444.7400000002)
('iter : ', 50, 'objective : ', 1100469.0940000035)
('iter : ', 200, 'objective : ', 1100234.7000000027)
('iter : ', 80, 'objective : ', 1100299.1200000104)
('iter : ', 50, 'objective : ', 1100449.7800000012)
('iter : ', 60, 'objective : ', 1100468.9620000036)
('iter : ', 90, 'objective : ', 1100284.1600000071)
('iter : ', 60, 'objective : ', 1100447.4700000014)
('iter : ', 70, 'objective : ', 1100467.8660000023)
('iter : ', 300, 'objective : ', 1100124.2600000058)
('iter : ', 100, 'objective : ', 1100266.0800000075)
('iter : ', 80, 'objective : ', 1100466.7820000006)
('iter : ', 70, 'objective : ', 1100453.2000000027)
('iter : ', 200, 'objective : ', 1100080.240000003)
('iter : ', 90, 'objective : ', 1100466.0320000036)
('iter : ', 80, 'objective : ', 1100446.7900000014)
('iter : ', 400, 'objective : ', 1100059.4600000046)
('iter : ', 100, 'objective : ', 1100466.9600000023)
('iter : ', 90, 'objective : ', 1100449.1400000015)
('iter : ', 300, 'objective : ', 1099883.200000006)
('iter : ', 500, 'objective : ', 1099974.6800000041)
('iter : ', 200, 'objective : ', 1100460.4400000004)
('iter : ', 100, 'objective : ', 1100440.9599999995)
('iter : ', 600, 'objective : ', 1099882.5799999998)
('iter : ', 200, 'objective : ', 1100394.5100000035)
('iter : ', 700, 'objective : ', 1099817.8399999968)
('iter : ', 300, 'objective : ', 1100453.488000012)
('iter : ', 400, 'objective : ', 1099718.8800000036)
('iter : ', 800, 'objective : ', 1099720.6800000062)
('iter : ', 300, 'objective : ', 1100347.3100000035)
('iter : ', 500, 'objective : ', 1099594.3600000038)
('iter : ', 900, 'objective : ', 1099621.2799999954)
('iter : ', 400, 'objective : ', 1100442.2780000025)
('iter : ', 600, 'objective : ', 1099413.9199999995)
('iter : ', 1000, 'objective : ', 1099562.5200000037)
('iter : ', 700, 'objective : ', 1099217.2400000019)
('iter : ', 400, 'objective : ', 1100307.3899999987)
('iter : ', 2000, 'objective : ', 1098681.6199999982)
('iter : ', 800, 'objective : ', 1098997.2799999991)
('iter : ', 500, 'objective : ', 1100431.4380000064)
('iter : ', 500, 'objective : ', 1100253.6700000023)
('iter : ', 3000, 'objective : ', 1097863.3399999943)
('iter : ', 900, 'objective : ', 1098749.920000002)
('iter : ', 600, 'objective : ', 1100418.6980000092)
('iter : ', 600, 'objective : ', 1100196.9100000064)
('iter : ', 700, 'objective : ', 1100415.9940000067)
('iter : ', 1000, 'objective : ', 1098527.8399999975)
('iter : ', 700, 'objective : ', 1100144.1000000064)
('iter : ', 4000, 'objective : ', 1096976.52)
('iter : ', 800, 'objective : ', 1100410.4100000053)
('iter : ', 800, 'objective : ', 1100096.300000008)
('iter : ', 2000, 'objective : ', 1096688.7999999998)
('iter : ', 900, 'objective : ', 1100402.3919999981)
('iter : ', 900, 'objective : ', 1100055.5600000061)
('iter : ', 3000, 'objective : ', 1094745.8400000012)
('iter : ', 5000, 'objective : ', 1096064.5400000024)
('iter : ', 1000, 'objective : ', 1100391.4200000013)
('iter : ', 1000, 'objective : ', 1100014.6300000029)
('iter : ', 4000, 'objective : ', 1093137.1600000034)
('iter : ', 2000, 'objective : ', 1100284.0160000171)
('iter : ', 2000, 'objective : ', 1099577.3100000003)
('iter : ', 6000, 'objective : ', 1095188.9400000121)
('iter : ', 3000, 'objective : ', 1100182.5680000088)
('iter : ', 5000, 'objective : ', 1091820.1200000036)
('iter : ', 3000, 'objective : ', 1099039.120000012)
('iter : ', 7000, 'objective : ', 1094424.0400000026)
('iter : ', 4000, 'objective : ', 1100080.3560000067)
('iter : ', 8000, 'objective : ', 1093655.7000000004)
('iter : ', 6000, 'objective : ', 1090547.2399999965)
('iter : ', 4000, 'objective : ', 1098501.7300000084)
('iter : ', 9000, 'objective : ', 1092945.2199999997)
('iter : ', 5000, 'objective : ', 1099968.6240000029)
('iter : ', 7000, 'objective : ', 1089310.7600000049)
('iter : ', 5000, 'objective : ', 1097972.3700000125)
('iter : ', 10000, 'objective : ', 1092212.9799999949)
('iter : ', 20000, 'objective : ', 1086241.6600000053)
('iter : ', 6000, 'objective : ', 1099882.4480000059)
('iter : ', 8000, 'objective : ', 1088044.5600000024)
('iter : ', 6000, 'objective : ', 1097446.3800000036)
('iter : ', 7000, 'objective : ', 1099771.9420000128)
('iter : ', 9000, 'objective : ', 1087076.6399999883)
('iter : ', 7000, 'objective : ', 1096949.5499999991)
('iter : ', 30000, 'objective : ', 1081675.4200000009)
('iter : ', 8000, 'objective : ', 1099667.6240000194)
('iter : ', 8000, 'objective : ', 1096466.659999999)
('iter : ', 9000, 'objective : ', 1099565.43200001)
('iter : ', 10000, 'objective : ', 1086000.5199999942)
('iter : ', 40000, 'objective : ', 1078026.9799999893)
('iter : ', 9000, 'objective : ', 1096027.2999999872)
('iter : ', 20000, 'objective : ', 1078058.4400000055)
('iter : ', 10000, 'objective : ', 1099469.6940000153)
('iter : ', 50000, 'objective : ', 1075032.1600000064)
('iter : ', 10000, 'objective : ', 1095572.109999995)
('iter : ', 30000, 'objective : ', 1072479.9200000037)
('iter : ', 20000, 'objective : ', 1098491.4440000067)
('iter : ', 20000, 'objective : ', 1091710.1099999889)
('iter : ', 60000, 'objective : ', 1072590.4600000046)
('iter : ', 40000, 'objective : ', 1067834.6800000072)
('iter : ', 30000, 'objective : ', 1097529.991999994)
('iter : ', 30000, 'objective : ', 1088537.2400000016)
('iter : ', 50000, 'objective : ', 1064237.8800000087)
('iter : ', 70000, 'objective : ', 1070161.3599999964)
('iter : ', 40000, 'objective : ', 1096595.9160000111)
('iter : ', 40000, 'objective : ', 1085926.9600000065)
('iter : ', 60000, 'objective : ', 1060862.5999999922)
('iter : ', 50000, 'objective : ', 1083398.0600000038)
('iter : ', 50000, 'objective : ', 1095714.0320000169)
('iter : ', 70000, 'objective : ', 1058027.5600000045)
('iter : ', 80000, 'objective : ', 1068129.8600000017)
('iter : ', 60000, 'objective : ', 1094866.7919999952)
('iter : ', 90000, 'objective : ', 1066134.0199999916)
('iter : ', 60000, 'objective : ', 1081356.070000011)
('iter : ', 80000, 'objective : ', 1055497.8800000055)
('iter : ', 100000, 'objective : ', 1064456.7400000037)
('iter : ', 70000, 'objective : ', 1093990.6540000113)
('iter : ', 70000, 'objective : ', 1079415.9900000123)
('iter : ', 110000, 'objective : ', 1062998.4599999981)
('iter : ', 90000, 'objective : ', 1053438.3200000082)
('iter : ', 120000, 'objective : ', 1061708.5200000089)
('iter : ', 80000, 'objective : ', 1077710.2300000037)
('iter : ', 80000, 'objective : ', 1093207.4619999977)
('iter : ', 100000, 'objective : ', 1052233.7200000067)
('iter : ', 130000, 'objective : ', 1060591.3799999931)
('iter : ', 90000, 'objective : ', 1076134.8100000126)
('iter : ', 110000, 'objective : ', 1051145.8400000075)
('iter : ', 90000, 'objective : ', 1092520.5319999999)
('iter : ', 140000, 'objective : ', 1059287.5999999919)
('iter : ', 100000, 'objective : ', 1074560.6700000083)
('iter : ', 120000, 'objective : ', 1049950.5199999947)
('iter : ', 150000, 'objective : ', 1058193.7399999965)
('iter : ', 100000, 'objective : ', 1091842.0380000051)
('iter : ', 110000, 'objective : ', 1073182.4600000004)
('iter : ', 130000, 'objective : ', 1048433.4399999962)
('iter : ', 160000, 'objective : ', 1057072.5999999996)
('iter : ', 140000, 'objective : ', 1047762.8399999969)
('iter : ', 110000, 'objective : ', 1091165.4099999955)
('iter : ', 120000, 'objective : ', 1071886.2700000063)
('iter : ', 170000, 'objective : ', 1056320.0399999951)
('iter : ', 150000, 'objective : ', 1046683.7199999902)
('iter : ', 130000, 'objective : ', 1070611.1600000088)
('iter : ', 120000, 'objective : ', 1090482.6659999976)
('iter : ', 180000, 'objective : ', 1055327.8799999966)
('iter : ', 160000, 'objective : ', 1045699.3599999998)
('iter : ', 140000, 'objective : ', 1069639.7300000086)
('iter : ', 130000, 'objective : ', 1089897.614000008)
('iter : ', 170000, 'objective : ', 1045024.8799999936)
('iter : ', 190000, 'objective : ', 1054505.4000000125)
('iter : ', 150000, 'objective : ', 1068507.8500000052)
('iter : ', 140000, 'objective : ', 1089283.7840000079)
('iter : ', 180000, 'objective : ', 1044358.3599999995)
