mkdir: 313_0.01_fixcache: File exists
_RegisterApplication(), FAILED TO establish the default connection to the WindowServer, _CGSDefaultConnection() is NULL.
('iter : ', 900, ' objective : ', 1100108.4600000107)
('iter : ', 2000, ' objective : ', 1097451.9200000013)
('iter : ', 1000, ' objective : ', 1100416.7600000289)
('iter : ', 4000, ' objective : ', 1097254.3799999978)
('iter : ', 1000, ' objective : ', 1100069.0500000077)
('iter : ', 3000, ' objective : ', 1095895.7599999942)
('iter : ', 2000, ' objective : ', 1100343.6020000281)
('iter : ', 5000, ' objective : ', 1096642.7199999981)
('iter : ', 2000, ' objective : ', 1099606.2000000135)
('iter : ', 4000, ' objective : ', 1094200.6000000027)
('iter : ', 3000, ' objective : ', 1100252.6160000106)
('iter : ', 6000, ' objective : ', 1095889.7400000012)
('iter : ', 3000, ' objective : ', 1099177.6500000106)
('iter : ', 5000, ' objective : ', 1092832.2000000041)
('iter : ', 4000, ' objective : ', 1100178.9720000008)
('iter : ', 7000, ' objective : ', 1095123.2800000003)
('iter : ', 4000, ' objective : ', 1098834.1700000083)
('iter : ', 6000, ' objective : ', 1091299.8799999966)
('iter : ', 5000, ' objective : ', 1100103.7120000122)
('iter : ', 8000, ' objective : ', 1094282.0200000054)
('iter : ', 5000, ' objective : ', 1098443.0300000133)
('iter : ', 7000, ' objective : ', 1089756.8799999997)
('iter : ', 6000, ' objective : ', 1100029.5460000082)
('iter : ', 9000, ' objective : ', 1093475.7400000063)
('iter : ', 6000, ' objective : ', 1098067.8000000056)
('iter : ', 8000, ' objective : ', 1088265.0799999991)
('iter : ', 7000, ' objective : ', 1099947.34200002)
('iter : ', 7000, ' objective : ', 1097683.0900000026)
('iter : ', 9000, ' objective : ', 1086533.9999999977)
('iter : ', 10000, ' objective : ', 1092711.7399999998)
('iter : ', 8000, ' objective : ', 1099864.9060000149)
('iter : ', 8000, ' objective : ', 1097298.4000000025)
('iter : ', 9000, ' objective : ', 1099783.3880000177)
('iter : ', 10000, ' objective : ', 1085065.1600000178)
('iter : ', 9000, ' objective : ', 1096890.7399999984)
('iter : ', 20000, ' objective : ', 1084921.4999999984)
('iter : ', 10000, ' objective : ', 1099712.4080000115)
('iter : ', 20000, ' objective : ', 1069837.1199999864)
('iter : ', 10000, ' objective : ', 1096476.5700000096)
('iter : ', 30000, ' objective : ', 1076901.8000000047)
('iter : ', 20000, ' objective : ', 1098919.6500000102)
('iter : ', 20000, ' objective : ', 1092639.6599999841)
('iter : ', 30000, ' objective : ', 1056209.2000000048)
('iter : ', 40000, ' objective : ', 1069064.440000003)
('iter : ', 30000, ' objective : ', 1098145.4500000046)
('iter : ', 30000, ' objective : ', 1088799.3399999905)
('iter : ', 40000, ' objective : ', 1042634.2799999984)
('iter : ', 50000, ' objective : ', 1062090.1399999978)
('iter : ', 50000, ' objective : ', 1031699.7999999891)
('iter : ', 40000, ' objective : ', 1097362.1080000002)
('iter : ', 60000, ' objective : ', 1055320.9800000067)
('iter : ', 40000, ' objective : ', 1084964.8900000001)
('iter : ', 60000, ' objective : ', 1021223.7999999969)
('iter : ', 50000, ' objective : ', 1096609.4820000129)
('iter : ', 70000, ' objective : ', 1048984.6400000006)
('iter : ', 50000, ' objective : ', 1080932.1699999874)
('iter : ', 70000, ' objective : ', 1012002.3600000018)
('iter : ', 60000, ' objective : ', 1095841.4160000121)
('iter : ', 80000, ' objective : ', 1042901.5799999943)
('iter : ', 60000, ' objective : ', 1077059.670000005)
('iter : ', 80000, ' objective : ', 1003648.4799999919)
('iter : ', 70000, ' objective : ', 1095061.9880000106)
('iter : ', 90000, ' objective : ', 1037020.3799999955)
('iter : ', 70000, ' objective : ', 1073363.4599999911)
('iter : ', 90000, ' objective : ', 995980.04000000586)
('iter : ', 80000, ' objective : ', 1094318.7919999906)
('iter : ', 100000, ' objective : ', 1031076.8200000004)
('iter : ', 80000, ' objective : ', 1069778.0099999961)
('iter : ', 100000, ' objective : ', 988306.68000000401)
('iter : ', 110000, ' objective : ', 1025726.5799999968)
('iter : ', 90000, ' objective : ', 1093543.1560000014)
('iter : ', 110000, ' objective : ', 981284.31999999937)
('iter : ', 90000, ' objective : ', 1066169.6000000038)
('iter : ', 120000, ' objective : ', 1020676.3200000004)
('iter : ', 120000, ' objective : ', 974626.15999999363)
('iter : ', 100000, ' objective : ', 1092814.7700000072)
('iter : ', 100000, ' objective : ', 1062632.6399999943)
('iter : ', 130000, ' objective : ', 1015723.6799999985)
('iter : ', 130000, ' objective : ', 968633.47999999975)
('iter : ', 110000, ' objective : ', 1091991.0779999983)
('iter : ', 110000, ' objective : ', 1059056.0400000052)
('iter : ', 140000, ' objective : ', 963082.72000000067)
('iter : ', 140000, ' objective : ', 1011159.1399999965)
('iter : ', 120000, ' objective : ', 1091202.1239999949)
('iter : ', 120000, ' objective : ', 1055678.4600000049)
('iter : ', 150000, ' objective : ', 957843.84000000509)
('iter : ', 150000, ' objective : ', 1006643.7599999987)
('iter : ', 130000, ' objective : ', 1090449.5000000026)
('iter : ', 130000, ' objective : ', 1052351.8299999963)
('iter : ', 160000, ' objective : ', 953005.83999999473)
('iter : ', 160000, ' objective : ', 1002059.1200000136)
('iter : ', 140000, ' objective : ', 1048987.1700000074)
('iter : ', 140000, ' objective : ', 1089686.7160000042)
('iter : ', 170000, ' objective : ', 947903.87999999907)
('iter : ', 170000, ' objective : ', 997990.94000001065)
('iter : ', 150000, ' objective : ', 1045833.1399999976)
('iter : ', 180000, ' objective : ', 943513.23999999953)
('iter : ', 150000, ' objective : ', 1088923.9339999997)
('iter : ', 180000, ' objective : ', 994055.30000000657)
('iter : ', 190000, ' objective : ', 939405.95999999251)
('iter : ', 160000, ' objective : ', 1042788.3199999988)
('iter : ', 190000, ' objective : ', 990041.95999999496)
('iter : ', 160000, ' objective : ', 1088143.670000006)
('iter : ', 200000, ' objective : ', 935549.39999998733)
('iter : ', 170000, ' objective : ', 1039769.9800000086)
('iter : ', 200000, ' objective : ', 986455.70000000461)
('iter : ', 170000, ' objective : ', 1087374.7640000102)
('iter : ', 210000, ' objective : ', 932041.40000000526)
('iter : ', 210000, ' objective : ', 982945.0000000014)
('iter : ', 180000, ' objective : ', 1036963.9799999993)
('iter : ', 220000, ' objective : ', 928709.80000000575)
('iter : ', 180000, ' objective : ', 1086579.4980000088)
('iter : ', 220000, ' objective : ', 979814.14000000246)
('iter : ', 230000, ' objective : ', 925507.5200000091)
('iter : ', 190000, ' objective : ', 1033954.0600000065)
('iter : ', 190000, ' objective : ', 1085790.5919999946)
('iter : ', 230000, ' objective : ', 976514.82000000076)
('iter : ', 240000, ' objective : ', 922349.39999999269)
('iter : ', 200000, ' objective : ', 1031197.4500000022)
